task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	02/0be9ac	5771	FASTP (SRR24949786)	COMPLETED	0	2026-04-06 16:35:11.689	1.5s	1.3s	48.9%	1.1 GB	1.1 GB	843.2 KB	422.3 KB
5	75/dbcc94	5846	FASTP (SRR24949787)	COMPLETED	0	2026-04-06 16:35:11.761	1.5s	1.3s	51.6%	1.1 GB	1.3 GB	843.3 KB	422.3 KB
6	71/6753e5	5763	FASTP (SRR24949788)	COMPLETED	0	2026-04-06 16:35:11.663	1.6s	1.3s	49.9%	1 GB	1.1 GB	843.9 KB	422.3 KB
1	5f/501da9	5759	FASTP (SRR24949775)	COMPLETED	0	2026-04-06 16:35:11.632	1.6s	1.3s	49.1%	1 GB	1.1 GB	845 KB	422.3 KB
3	fd/e214ec	5795	FASTP (SRR24949781)	COMPLETED	0	2026-04-06 16:35:11.713	1.5s	1.3s	50.4%	1.1 GB	1.1 GB	843.3 KB	422.3 KB
2	2b/df4815	5816	FASTP (SRR24949778)	COMPLETED	0	2026-04-06 16:35:11.737	1.5s	1.3s	50.6%	1.1 GB	1.5 GB	843.2 KB	422.3 KB
11	63/c8176a	6866	STAR_ALIGN (SRR24949788)	COMPLETED	0	2026-04-06 16:35:13.430	3m 17s	3m 16s	18.2%	27.7 GB	28.1 GB	28.1 GB	37.4 KB
12	84/8a5e99	6871	STAR_ALIGN (SRR24949775)	COMPLETED	0	2026-04-06 16:35:13.465	3m 17s	3m 16s	18.4%	27.7 GB	28.1 GB	28.1 GB	37.4 KB
9	b7/0674bd	6902	STAR_ALIGN (SRR24949786)	COMPLETED	0	2026-04-06 16:35:13.517	3m 17s	3m 16s	18.0%	27.7 GB	28.1 GB	28.1 GB	37.4 KB
10	d2/d6d940	6888	STAR_ALIGN (SRR24949787)	COMPLETED	0	2026-04-06 16:35:13.496	3m 17s	3m 16s	18.1%	27.7 GB	28.1 GB	28.1 GB	37.4 KB
7	5d/0d3027	6954	STAR_ALIGN (SRR24949778)	COMPLETED	0	2026-04-06 16:35:13.562	3m 17s	3m 16s	18.1%	27.7 GB	28.1 GB	28.1 GB	37.4 KB
8	45/829ba9	6922	STAR_ALIGN (SRR24949781)	COMPLETED	0	2026-04-06 16:35:13.539	3m 17s	3m 16s	18.1%	27.7 GB	28.1 GB	28.1 GB	37.4 KB
17	1e/e58681	22458	SAMTOOLS_INDEX (SRR24949778)	COMPLETED	0	2026-04-06 16:38:30.311	1.1s	861ms	49.4%	9.6 MB	19.2 MB	946.6 KB	21.8 KB
18	25/200d72	22495	SAMTOOLS_INDEX (SRR24949781)	COMPLETED	0	2026-04-06 16:38:30.333	1.1s	835ms	48.8%	9.6 MB	19.6 MB	946.6 KB	21.8 KB
15	9c/8bad5b	22438	SAMTOOLS_INDEX (SRR24949787)	COMPLETED	0	2026-04-06 16:38:30.291	1.1s	897ms	46.5%	9 MB	18.8 MB	946.6 KB	21.8 KB
14	9b/5e3998	22403	SAMTOOLS_INDEX (SRR24949775)	COMPLETED	0	2026-04-06 16:38:30.219	1.3s	956ms	43.8%	8.4 MB	17.9 MB	946.6 KB	21.8 KB
16	49/b40946	22428	SAMTOOLS_INDEX (SRR24949786)	COMPLETED	0	2026-04-06 16:38:30.269	1.2s	907ms	45.1%	10.1 MB	18.8 MB	946.6 KB	21.8 KB
13	1a/f4526d	22399	SAMTOOLS_INDEX (SRR24949788)	COMPLETED	0	2026-04-06 16:38:30.193	1.3s	975ms	43.9%	8.4 MB	17.9 MB	946.6 KB	21.8 KB
22	23/f89626	23142	FEATURECOUNTS (SRR24949786)	COMPLETED	0	2026-04-06 16:38:31.566	13.2s	12.9s	71.3%	85.7 MB	145.5 MB	1.4 GB	37.3 MB
24	be/a7a0d7	23164	FEATURECOUNTS (SRR24949788)	COMPLETED	0	2026-04-06 16:38:31.584	13.1s	12.9s	71.3%	86 MB	145.5 MB	1.4 GB	37.3 MB
23	a7/efa2b2	23124	FEATURECOUNTS (SRR24949775)	COMPLETED	0	2026-04-06 16:38:31.547	13.2s	13s	70.5%	85.7 MB	145.5 MB	1.4 GB	37.3 MB
20	ff/985678	23093	FEATURECOUNTS (SRR24949778)	COMPLETED	0	2026-04-06 16:38:31.461	13.3s	13.1s	71.1%	85.1 MB	145.5 MB	1.4 GB	37.3 MB
19	33/a94ad1	23105	FEATURECOUNTS (SRR24949787)	COMPLETED	0	2026-04-06 16:38:31.500	13.3s	13s	71.1%	84.8 MB	145.5 MB	1.4 GB	37.3 MB
21	a7/bb0fb2	23113	FEATURECOUNTS (SRR24949781)	COMPLETED	0	2026-04-06 16:38:31.527	13.2s	13s	71.6%	85.4 MB	145.5 MB	1.4 GB	37.3 MB
