task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	3e/35a703	1812411	FASTP (SRR24949786)	COMPLETED	0	2026-04-16 18:38:37.669	2m 55s	1m 25s	614.1%	2.1 GB	2.5 GB	18.1 GB	17.8 GB
6	e2/4e594b	1812465	FASTP (SRR24949788)	COMPLETED	0	2026-04-16 18:38:37.773	3m	1m 28s	566.4%	2.1 GB	2.6 GB	18.9 GB	18.7 GB
5	ea/8fae2a	1812480	FASTP (SRR24949787)	COMPLETED	0	2026-04-16 18:38:37.795	3m 3s	1m 34s	574.4%	2.3 GB	2.6 GB	18.7 GB	18.4 GB
2	16/fcf473	1812446	FASTP (SRR24949778)	COMPLETED	0	2026-04-16 18:38:37.750	3m 19s	1m 41s	576.0%	2.2 GB	2.5 GB	19.9 GB	19.6 GB
3	3b/a0c90d	1812428	FASTP (SRR24949781)	COMPLETED	0	2026-04-16 18:38:37.726	3m 25s	1m 42s	553.2%	2.1 GB	2.5 GB	20.3 GB	19.9 GB
1	18/954a4c	1812418	FASTP (SRR24949775)	COMPLETED	0	2026-04-16 18:38:37.700	3m 31s	1m 49s	547.3%	2.4 GB	2.8 GB	21.8 GB	21.4 GB
8	35/069eca	1822266	STAR_ALIGN (SRR24949788)	COMPLETED	0	2026-04-16 18:41:38.384	8m 51s	8m 38s	483.1%	29.4 GB	29.8 GB	62.5 GB	18 GB
7	73/5ab36e	1821974	STAR_ALIGN (SRR24949786)	COMPLETED	0	2026-04-16 18:41:32.754	9m 7s	8m 50s	482.7%	29.4 GB	29.8 GB	61.1 GB	17.4 GB
9	01/7f3a33	1822528	STAR_ALIGN (SRR24949787)	COMPLETED	0	2026-04-16 18:41:41.687	9m 7s	8m 55s	496.4%	29.4 GB	29.8 GB	62.7 GB	18.6 GB
13	b9/13d611	1840506	SAMTOOLS_INDEX (SRR24949788)	COMPLETED	0	2026-04-16 18:50:31.353	32.4s	23.8s	258.3%	19.1 MB	643.2 MB	2.2 GB	2.5 MB
14	6d/dea4a6	1841905	SAMTOOLS_INDEX (SRR24949786)	COMPLETED	0	2026-04-16 18:50:48.484	36.6s	6.3s	833.0%	20.2 MB	642.6 MB	2.2 GB	2.5 MB
15	c3/d8f7bb	1841907	SAMTOOLS_INDEX (SRR24949787)	COMPLETED	0	2026-04-16 18:50:48.502	37.5s	6.8s	836.1%	20.2 MB	691.5 MB	2.4 GB	2.5 MB
16	ce/7fb98d	1842878	FEATURECOUNTS (SRR24949788)	COMPLETED	0	2026-04-16 18:51:03.770	29.8s	19.5s	307.7%	342.6 MB	1.3 GB	3.6 GB	37.3 MB
17	78/b7002c	1845364	FEATURECOUNTS (SRR24949786)	COMPLETED	0	2026-04-16 18:51:25.168	14.6s	13.8s	435.7%	317.5 MB	1.3 GB	3.5 GB	37.3 MB
18	87/9f8c32	1845551	FEATURECOUNTS (SRR24949787)	COMPLETED	0	2026-04-16 18:51:25.996	14.8s	13.8s	461.5%	360.4 MB	1.3 GB	3.7 GB	37.3 MB
10	3b/f9750c	1840447	STAR_ALIGN (SRR24949778)	COMPLETED	0	2026-04-16 18:50:30.112	6m 23s	6m 10s	709.5%	29.4 GB	29.8 GB	63.8 GB	18.6 GB
11	1b/ee6626	1841174	STAR_ALIGN (SRR24949781)	COMPLETED	0	2026-04-16 18:50:39.423	6m 33s	6m 12s	711.4%	29.4 GB	29.8 GB	64.8 GB	19.2 GB
19	a7/c66a13	1857460	SAMTOOLS_INDEX (SRR24949778)	COMPLETED	0	2026-04-16 18:56:53.614	19s	8.8s	617.7%	19.1 MB	643.6 MB	2.3 GB	2.5 MB
20	6a/0f21cd	1858344	SAMTOOLS_INDEX (SRR24949781)	COMPLETED	0	2026-04-16 18:57:12.462	18s	8.8s	690.6%	21.4 MB	643.6 MB	2.4 GB	2.6 MB
21	12/e33a0b	1858373	FEATURECOUNTS (SRR24949778)	COMPLETED	0	2026-04-16 18:57:12.693	22s	21.1s	312.7%	368.1 MB	1.3 GB	3.7 GB	37.3 MB
22	75/e567ad	1859775	FEATURECOUNTS (SRR24949781)	COMPLETED	0	2026-04-16 18:57:30.498	15.8s	12.6s	485.2%	375.7 MB	1.3 GB	3.7 GB	37.3 MB
12	fc/c43a15	1841903	STAR_ALIGN (SRR24949775)	COMPLETED	0	2026-04-16 18:50:48.466	7m 16s	6m 39s	713.0%	29.4 GB	29.8 GB	68.2 GB	21.3 GB
23	a6/ab227b	1860874	SAMTOOLS_INDEX (SRR24949775)	COMPLETED	0	2026-04-16 18:58:04.303	20.4s	10.6s	631.6%	23.1 MB	691.5 MB	2.6 GB	2.6 MB
24	bf/38c0e8	1861516	FEATURECOUNTS (SRR24949775)	COMPLETED	0	2026-04-16 18:58:24.772	16.2s	14.7s	460.2%	379.1 MB	1.3 GB	4 GB	37.3 MB
